timestamp_utc,latitude,longitude,rainfall_mm_hr,rainfall_lag_30min,rainfall_lag_60min,rainfall_lag_90min,rainfall_lag_2hr,rainfall_change_30min,rainfall_rolling_1hr,rainfall_rolling_3hr,rainfall_rolling_6hr,spatial_mean_rainfall,spatial_max_rainfall,spatial_rainfall_std,rainfall_to_regional_max,regional_rainfall_1hr,regional_rainfall_3hr,regional_rainfall_6hr,flood_area_fraction,flood_label,distance_to_water_m,distance_to_river_m,distance_to_lake_m,distance_to_reservoir_m,distance_to_inundation_area_m,near_river_1km,near_river_3km,near_water_1km,near_water_3km,near_inundation_3km,waterbody_count_5km,river_segment_count_5km,rainfall_hazard,flood_susceptibility,dynamic_flood_risk,risk_level_dynamic
2019-05-02 10:00:00+00:00,19.85,86.45,0.57,0.83,0.71999997,1.75,2.22,-0.26,1.4000000000000004,7.03999997,10.44999993,1.3662299223021397,10.76,1.6637458333039603,0.0529739727719356,2.533529364882353,7.447620190058823,13.6283152748369,0.0,0,13993.786515942698,13888.648941507829,35123.88349999502,50737.77667922931,94763.46857337492,0,0,0,0,0,1,1,0.18260641874968234,1.2809419e-05,0.07305025315119897,Low
2019-05-02 10:30:00+00:00,19.85,86.45,0.21,0.57,0.83,0.71999997,1.75,-0.36,0.7800000000000004,6.299999970000001,10.22999995,1.0052406260748652,6.98,1.1408774600834624,0.0300859555750779,2.371470548377005,6.816122878636364,14.053128103328875,0.0,0,13993.786515942698,13888.648941507829,35123.88349999502,50737.77667922931,94763.46857337492,0,0,0,0,0,1,1,0.16233610615705313,1.2809419e-05,0.06494212811414728,Low
2019-05-02 11:00:00+00:00,19.85,86.45,0.13,0.21,0.57,0.83,0.71999997,-0.0799999999999999,0.3400000000000004,4.20999997,10.28999995,0.8812566710187161,6.33,0.9683103501746596,0.0205371215581166,1.886497297093583,6.641283313347594,14.479705637695186,0.0,0,13993.786515942698,13888.648941507829,35123.88349999502,50737.77667922931,94763.46857337492,0,0,0,0,0,1,1,0.14236786809057023,1.2809419e-05,0.056954832887554124,Low
2019-05-02 11:30:00+00:00,19.85,86.45,0.62,0.13,0.21,0.57,0.83,0.49,0.7500000000000004,3.07999997,10.64999995,0.9221657588155084,5.8799996,1.0397085700504185,0.1054421661113435,1.8034224298342243,6.386497217850267,14.652245737144383,0.0,0,13993.786515942698,13888.648941507829,35123.88349999502,50737.77667922931,94763.46857337492,0,0,0,0,0,1,1,0.15015011569435996,1.2809419e-05,0.060067731929070015,Low
2019-05-02 12:00:00+00:00,19.85,86.45,1.3199999,0.62,0.13,0.21,0.57,0.6999999,1.9399999000000008,3.6799999,11.50999987,1.0091711096443847,6.96,1.1768873721416684,0.1896551307966766,1.9313368684598928,6.351363530435828,14.616898146604278,0.0,0,13993.786515942698,13888.648941507829,35123.88349999502,50737.77667922931,94763.46857337492,0,0,0,0,0,1,1,0.17996586044109408,1.2809419e-05,0.07199402982776366,Low
2019-05-02 12:30:00+00:00,19.85,86.45,1.28,1.3199999,0.62,0.13,0.21,-0.0399998999999999,2.5999999000000003,4.1299999,11.61999987,1.13002672036631,10.99,1.4083318540336769,0.1164695071456317,2.139197830010695,6.314090808221925,14.001898157850269,0.0,0,13993.786515942698,13888.648941507829,35123.88349999502,50737.77667922931,94763.46857337492,0,0,0,0,0,1,1,0.1885588606002318,1.2809419e-05,0.07543122989141876,Low
2019-05-02 13:00:00+00:00,19.85,86.45,0.79999995,1.28,1.3199999,0.62,0.13,-0.48000005,2.0799999500000004,4.35999985,11.39999982,1.38066842564171,10.24,1.6551653649492608,0.0781249874877942,2.510695146008021,6.328529311561497,13.77614950162032,0.0,0,13993.786515942698,13888.648941507829,35123.88349999502,50737.77667922931,94763.46857337492,0,0,0,0,0,1,1,0.1801570028855726,1.2809419e-05,0.07207048680555507,Low
2019-05-02 13:30:00+00:00,19.85,86.45,0.53,0.79999995,1.28,1.3199999,0.62,-0.26999995,1.3299999500000004,4.67999985,10.97999982,1.4893850061978609,7.12,1.5051056462661545,0.0744381917923888,2.870053431839572,6.812673691684491,13.628796570320857,0.0,0,13993.786515942698,13888.648941507829,35123.88349999502,50737.77667922931,94763.46857337492,0,0,0,0,0,1,1,0.17596844832557879,1.2809419e-05,0.07039506498155755,Low
2019-05-02 14:00:00+00:00,19.85,86.45,0.85999995,0.53,0.79999995,1.28,1.3199999,0.3299999499999999,1.3899999500000004,5.4099998000000005,9.61999977,1.6756684236978612,9.12,1.5624749693516222,0.0942982297918607,3.165053429895722,7.607085444363635,14.24836875771123,0.0,0,13993.786515942698,13888.648941507829,35123.88349999502,50737.77667922931,94763.46857337492,0,0,0,0,0,1,1,0.1932947917361885,1.2809419e-05,0.07732560234580144,Low
2019-05-02 14:30:00+00:00,19.85,86.45,0.41,0.85999995,0.53,0.79999995,1.28,-0.44999995,1.2699999500000003,5.1999998,8.27999977,1.9804812528556164,6.81,1.640760208715099,0.0602055711886092,3.656149676553476,8.665400938403742,15.05189815625401,0.0,0,13993.786515942698,13888.648941507829,35123.88349999502,50737.77667922931,94763.46857337492,0,0,0,0,0,1,1,0.1960018129553617,1.2809419e-05,0.07840841083347072,Low
2019-05-02 15:00:00+00:00,19.85,86.45,0.61,0.41,0.85999995,0.53,0.79999995,0.2,1.0200000000000005,4.4899999,8.1699998,2.140909052887702,6.83,1.473797287328777,0.089311846367226,4.121390305743315,9.797138881647058,16.148502412082888,0.0,0,13993.786515942698,13888.648941507829,35123.88349999502,50737.77667922931,94763.46857337492,0,0,0,0,0,1,1,0.21099878767313524,1.2809419e-05,0.08440720072058013,Low
2019-05-02 15:30:00+00:00,19.85,86.45,0.63,0.61,0.41,0.85999995,0.53,0.02,1.2400000000000009,3.8399999,7.9699998,2.4860159964545434,7.16,1.4800046491452714,0.0879888145267018,4.626925049342246,11.153128157735294,17.46721896595722,0.0,0,13993.786515942698,13888.648941507829,35123.88349999502,50737.77667922931,94763.46857337492,0,0,0,0,0,1,1,0.22956436251325624,1.2809419e-05,0.09183343065662852,Low
2019-05-02 16:00:00+00:00,19.85,86.45,2.75,0.63,0.61,0.41,0.85999995,2.12,3.380000000000001,5.78999995,10.1499998,2.203262001203205,7.33,1.537178227315977,0.3751704808771513,4.689277997657754,11.97572173329679,18.304251044858287,0.0,0,13993.786515942698,13888.648941507829,35123.88349999502,50737.77667922931,94763.46857337492,0,0,0,0,0,1,1,0.3080653596985282,1.2809419e-05,0.12323382953073732,Low
2019-05-02 16:30:00+00:00,19.85,86.45,2.74,2.75,0.63,0.61,0.41,-0.0099999999999997,5.490000000000001,7.999999949999999,12.6799998,2.2785828506604275,8.17,1.529310175494142,0.3353732759641034,4.481844851863636,12.764919577759358,19.57759326944385,0.0,0,13993.786515942698,13888.648941507829,35123.88349999502,50737.77667922931,94763.46857337492,0,0,0,0,0,1,1,0.3445541735200108,1.2809419e-05,0.13782935505933033,Low
2019-05-02 17:00:00+00:00,19.85,86.45,2.48,2.74,2.75,0.63,0.61,-0.2600000000000002,5.220000000000001,9.62,15.0299998,2.3413903346898386,18.82,2.1397781235863484,0.1317747007558607,4.619973185350268,13.430641488751338,21.03772693311497,0.0,0,13993.786515942698,13888.648941507829,35123.88349999502,50737.77667922931,94763.46857337492,0,0,0,0,0,1,1,0.3565082168215448,1.2809419e-05,0.14261097237994397,Low
